BJD,JD,V ,V_error
2453497.51225642,2453497.5063,17.8,0.1
2453498.48995728,2453498.484,16.1,0.05
2453509.40236937,2453509.3965,18.3,0.2
2453555.64921227,2453555.6455,14.74,0.02
2453778.92563193,2453778.9243,17.79,0.16
2453783.65905428,2453783.6573,17.21,0.31
2453793.88943985,2453793.8868,17.6,0.13
2453794.89072372,2453794.888,17.52,0.11
2453800.88981249,2453800.8866,13.79,0.01
2453801.61366971,2453801.6104,14.82,0.06
2453801.87769049,2453801.8744,14.92,0.02
2453802.86056734,2453802.8572,17.45,0.06
2453821.8541771,2453821.8495,17.69,0.15
2453822.84863512,2453822.8439,18.19,0.2
2453824.82834709,2453824.8235,17.63,0.19
2453827.82280724,2453827.8178,18.04,0.15
2453830.79525492,2453830.7901,17.94,0.15
2453846.75104306,2453846.7453,17.53,0.12
2453851.75895271,2453851.7531,17.89,0.14
2453854.80610113,2453854.8002,17.11,0.1
2453855.79371383,2453855.7878,18.19,0.11
2453856.74212464,2453856.7362,17.46,0.06
2453857.77333485,2453857.7674,15.33,0.06
2453883.69057033,2453883.6849,17.91,0.18
2453892.66385325,2453892.6585,17.94,0.17
2453902.62937861,2453902.6245,17.96,0.12
2453904.63426864,2453904.6295,17.51,0.13
2453907.63949522,2453907.6349,17.98,0.1
2453932.66391637,2453932.6611,13.66,0.02
2454150.64650656,2454150.6446,17.74,0.16
2454159.91000324,2454159.9073,17.71,0.18
2454160.879984,2454160.8772,18,0.18
2454168.90882796,2454168.9054,17.8,0.15
2454178.91255609,2454178.9084,18.09,0.13
2454180.86218665,2454180.8579,18.29,0.14
2454182.87911742,2454182.8747,18.2,0.12
2454183.84457843,2454183.8401,18.12,0.18
2454188.85977813,2454188.855,18.5,0.15
2454190.81758702,2454190.8127,18.11,0.17
2454210.81841209,2454210.8127,13.23,0.01
2454211.85843968,2454211.8527,13.42,0.01
2454212.85566464,2454212.8499,13.48,0.01
2454213.78628661,2454213.7805,13.49,0.01
2454223.81374181,2454223.8078,17.62,0.11
2454226.77825893,2454226.7723,17.72,0.12
2454227.43946095,2454227.4335,17.38,0.19
2454227.7641617,2454227.7582,17.53,0.08
2454229.43326305,2454229.4273,17.45,0.22
2454233.78804687,2454233.7821,17.83,0.06
2454238.80549293,2454238.7996,17.9,0.11
2454239.78077809,2454239.7749,18.28,0.11
2454240.7243624,2454240.7185,17.94,0.08
2454245.71935767,2454245.7136,17.51,0.11
2454250.71401734,2454250.7084,15.47,0.07
2454265.6582967,2454265.6533,18.03,0.1
2454266.64894551,2454266.644,17.75,0.06
2454269.64668353,2454269.6419,17.48,0.04
2454270.6709258,2454270.6662,17.28,0.18
2454273.63755201,2454273.633,17.86,0.12
2454274.63629135,2454274.6318,17.76,0.09
2454275.6518286,2454275.6474,17.97,0.1
2454536.840138,2454536.8365,17.61,0.12
2454538.82658513,2454538.8228,17.94,0.15
2454542.8328706,2454542.8288,18.23,0.16
2454554.80382327,2454554.799,17.79,0.12
2454559.78308701,2454559.778,17.97,0.12
2454563.81867739,2454563.8134,18.03,0.09
2454572.78732101,2454572.7817,18.44,0.24
2454600.7483396,2454600.7424,17.91,0.17
2454651.63261226,2454651.6289,18.19,0.12
2454652.63463926,2454652.631,17.84,0.09
2454653.63826533,2454653.6347,18.22,0.18
2454654.63799089,2454654.6345,17.81,0.18
2454655.63811564,2454655.6347,17.63,0.16
2454904.8800247,2454904.87616,18.325,0.144
2454914.811235,2454914.8067,18.49,0.14
2454915.81069661,2454915.8061,17.44,0.06
2454936.76800111,2454936.7624,17.68,0.14
2454937.75143376,2454937.7458,18.09,0.16
2454985.45403153,2454985.44853,12.445,0.003
2454994.36564688,2454994.36053,13.51,0.01
2454994.39487545,2454994.38976,13.54,0.07
2455001.38956451,2455001.38482,17.47,0.1
2455004.40730708,2455004.40274,16.87,0.09
2455218.93308381,2455218.9336,16.96,0.14
2455219.90646926,2455219.9069,16.85,0.1
2455231.91254383,2455231.9119,17.84,0.24
2455234.84614915,2455234.84524,17.416,0.077
2455238.8840737,2455238.8828,17.75,0.17
2455239.89316448,2455239.8918,17.74,0.15
2455261.90635029,2455261.9031,17.19,0.15
2455265.8496574,2455265.8461,17.8,0.18
2455271.87880127,2455271.8748,17.35,0.12
2455280.78679094,2455280.7822,17.91,0.27
2455300.78706991,2455300.7815,13.87,0.02
2455301.76500409,2455301.7594,15.15,0.04
2455336.64731081,2455336.64141,17.337,0.414
2455345.62609527,2455345.62041,17.243,0.474
2456485.46392098,2456485.46073,13.245,0.008
2456485.46520088,2456485.46201,13.278,0.008
2456485.46648078,2456485.46329,13.309,0.007
2456485.46775068,2456485.46456,13.288,0.007
2456485.46903059,2456485.46584,13.291,0.007
2456485.47031048,2456485.46712,13.326,0.007
2456485.47159038,2456485.4684,13.301,0.007
2456485.47287028,2456485.46968,13.311,0.007
2456485.47414019,2456485.47095,13.327,0.007
2456485.47542008,2456485.47223,13.311,0.007
2456485.47669998,2456485.47351,13.324,0.007
2456485.47797988,2456485.47479,13.332,0.007
2456485.47924979,2456485.47606,13.339,0.007
2456485.48053969,2456485.47735,13.336,0.007
2456485.48180959,2456485.47862,13.344,0.007
2456485.48308949,2456485.4799,13.33,0.009
2456485.48436939,2456485.48118,13.346,0.009
2456485.48565928,2456485.48247,13.34,0.009
2456485.48692919,2456485.48374,13.357,0.009
2456485.48819908,2456485.48501,13.355,0.009
2456485.48948898,2456485.4863,13.359,0.009
2456485.49075889,2456485.48757,13.348,0.007
2456485.49203878,2456485.48885,13.35,0.007
2456485.49331868,2456485.49013,13.364,0.007
2456485.49459858,2456485.49141,13.348,0.007
2456485.49587849,2456485.49269,13.347,0.007
2456485.49715838,2456485.49397,13.34,0.007
2456485.49843829,2456485.49525,13.346,0.007
2456485.49971818,2456485.49653,13.335,0.007
2456485.50099808,2456485.49781,13.335,0.007
2456485.50228798,2456485.4991,13.355,0.007
2456485.50355788,2456485.50037,13.363,0.007
2456485.50484778,2456485.50166,13.375,0.007
2456485.50612768,2456485.50294,13.366,0.007
2456485.50740758,2456485.50422,13.364,0.007
2456485.50868748,2456485.5055,13.364,0.009
2456485.50996738,2456485.50678,13.38,0.009
2456485.51125728,2456485.50807,13.368,0.009
2456485.51253718,2456485.50935,13.382,0.009
2456485.51382708,2456485.51064,13.395,0.009
2456485.51509698,2456485.51191,13.382,0.007
2456485.51637688,2456485.51319,13.369,0.007
2456485.51766678,2456485.51448,13.388,0.007
2456485.51894668,2456485.51576,13.38,0.007
2456485.52049656,2456485.51731,13.422,0.007
2456485.52232642,2456485.51914,13.396,0.007
2456485.52414627,2456485.52096,13.375,0.007
2456485.52597613,2456485.52279,13.341,0.007
2456485.52779599,2456485.52461,13.329,0.007
2456485.52960585,2456485.52642,13.282,0.007
2456485.5314257,2456485.52824,13.256,0.007
2456485.53324556,2456485.53006,13.216,0.007
2456485.53507542,2456485.53189,13.233,0.007
2456485.53688528,2456485.5337,13.229,0.007
2456485.53871513,2456485.53553,13.252,0.007
2456485.54054499,2456485.53736,13.244,0.007
2456485.54183489,2456485.53865,13.279,0.007
2456485.54311479,2456485.53993,13.273,0.007
2456485.54440469,2456485.54122,13.306,0.007
2456485.54568459,2456485.5425,13.3,0.007
2456485.54696449,2456485.54378,13.3,0.007
2456485.54826439,2456485.54508,13.328,0.007
2456485.54955428,2456485.54637,13.317,0.007
2456485.55084418,2456485.54766,13.321,0.007
2456485.55213408,2456485.54895,13.321,0.007
2456485.55341398,2456485.55023,13.33,0.007
2456485.55471388,2456485.55153,13.331,0.007
2456485.55599378,2456485.55281,13.341,0.007
2456485.55729368,2456485.55411,13.344,0.007
2456485.55857358,2456485.55539,13.343,0.007
2456485.55986348,2456485.55668,13.342,0.007
2456485.56115338,2456485.55797,13.348,0.007
2456485.56244328,2456485.55926,13.361,0.007
2456485.56374317,2456485.56056,13.368,0.007
2456485.56502307,2456485.56184,13.371,0.007
2456485.56632297,2456485.56314,13.359,0.007
2456485.56761287,2456485.56443,13.368,0.007
2456485.56890277,2456485.56572,13.379,0.007
2456485.57019267,2456485.56701,13.365,0.007
2456485.57148257,2456485.5683,13.363,0.008
2456485.57277247,2456485.56959,13.372,0.007
2456485.57406237,2456485.57088,13.379,0.007
2456485.57536227,2456485.57218,13.365,0.008
2456485.57665216,2456485.57347,13.378,0.008
2456485.57794206,2456485.57476,13.387,0.008
2456485.57923196,2456485.57605,13.396,0.008
2456485.58053186,2456485.57735,13.382,0.007
2456485.58181176,2456485.57863,13.384,0.007
2456485.58311166,2456485.57993,13.363,0.007
2456485.58441156,2456485.58123,13.38,0.007
2456485.58570146,2456485.58252,13.383,0.007
2456485.58699135,2456485.58381,13.389,0.007
2456485.58828125,2456485.5851,13.398,0.007
2456485.58957115,2456485.58639,13.412,0.007
2456485.59087105,2456485.58769,13.403,0.007
2456485.59216095,2456485.58898,13.41,0.007
2456485.59346085,2456485.59028,13.415,0.007
2456485.59475075,2456485.59157,13.423,0.007
2456485.59605064,2456485.59287,13.404,0.007
2456485.59735054,2456485.59417,13.406,0.007
2456485.59864044,2456485.59546,13.419,0.007
2456485.59994034,2456485.59676,13.385,0.007
2456485.60122024,2456485.59804,13.393,0.007
2456485.60253014,2456485.59935,13.346,0.007
2456485.60383004,2456485.60065,13.325,0.007
2456485.60511993,2456485.60194,13.317,0.007
2456485.60641983,2456485.60324,13.315,0.007
2456485.60771973,2456485.60454,13.303,0.007
2456485.60900963,2456485.60583,13.262,0.007
2456485.61030953,2456485.60713,13.252,0.007
2456485.61160943,2456485.60843,13.257,0.007
2456485.61289933,2456485.60972,13.255,0.007
2456485.61419922,2456485.61102,13.257,0.007
2456485.61548912,2456485.61231,13.26,0.007
2456485.61678902,2456485.61361,13.291,0.007
2456485.61809892,2456485.61492,13.286,0.007
2456485.61939882,2456485.61622,13.297,0.007
2456485.62069871,2456485.61752,13.332,0.007
2456485.62199861,2456485.61882,13.342,0.007
2456485.62329851,2456485.62012,13.345,0.007
2456485.62458841,2456485.62141,13.366,0.008
2456485.62588831,2456485.62271,13.352,0.008
2456485.62719821,2456485.62402,13.353,0.007
2456485.6284881,2456485.62531,13.363,0.007
2456485.629788,2456485.62661,13.37,0.007
2456485.6310879,2456485.62791,13.369,0.008
2456485.6323878,2456485.62921,13.362,0.008
2456485.6336877,2456485.63051,13.364,0.008
2456485.6349976,2456485.63182,13.371,0.008
2456485.63628749,2456485.63311,13.368,0.008
2456485.63759739,2456485.63442,13.399,0.008
2456485.63889729,2456485.63572,13.4,0.007
2456485.64018719,2456485.63701,13.393,0.008
2456485.64149709,2456485.63832,13.399,0.008
2456485.64280698,2456485.63963,13.384,0.007
2456485.64410688,2456485.64093,13.388,0.008
2456485.64540678,2456485.64223,13.405,0.008
2456485.64671668,2456485.64354,13.407,0.008
2456485.64801658,2456485.64484,13.406,0.008
2456485.64932647,2456485.64615,13.424,0.008
2456485.65062637,2456485.64745,13.417,0.008
2456485.65192627,2456485.64875,13.433,0.008
2456485.65323617,2456485.65006,13.415,0.008
2456485.65454606,2456485.65137,13.428,0.008
2456485.65584596,2456485.65267,13.427,0.027
2456485.65714586,2456485.65397,13.443,0.007
2456485.65845576,2456485.65528,13.442,0.008
2456485.65976566,2456485.65659,13.442,0.008
2456485.66106555,2456485.65789,13.435,0.008
2456485.66237545,2456485.6592,13.435,0.008
2456485.66367535,2456485.6605,13.441,0.008
2456485.66498525,2456485.66181,13.439,0.008
2456485.66628514,2456485.66311,13.449,0.008
2456485.66759504,2456485.66442,13.472,0.008
2456485.66890494,2456485.66573,13.46,0.008
2456485.67021484,2456485.66704,13.467,0.008
2456485.67150474,2456485.66833,13.469,0.008
2456485.67281463,2456485.66964,13.464,0.008
2456485.67412453,2456485.67095,13.438,0.008
2456486.46473238,2456486.46162,13.248,0.007
2456486.46600228,2456486.46289,13.265,0.007
2456486.46729218,2456486.46418,13.303,0.007
2456486.46856208,2456486.46545,13.318,0.007
2456486.46983198,2456486.46672,13.332,0.007
2456486.47111188,2456486.468,13.355,0.007
2456486.47239177,2456486.46928,13.339,0.007
2456486.47367167,2456486.47056,13.352,0.007
2456486.47495157,2456486.47184,13.362,0.007
2456486.47622147,2456486.47311,13.36,0.007
2456486.47751137,2456486.4744,13.367,0.007
2456486.47878127,2456486.47567,13.365,0.007
2456486.48007117,2456486.47696,13.358,0.007
2456486.48134107,2456486.47823,13.388,0.009
2456486.48262097,2456486.47951,13.374,0.009
2456486.48390087,2456486.48079,13.391,0.009
2456486.48518077,2456486.48207,13.39,0.009
2456486.48647066,2456486.48336,13.39,0.009
2456486.48774057,2456486.48463,13.396,0.009
2456486.48902046,2456486.48591,13.405,0.009
2456486.49031036,2456486.4872,13.404,0.009
2456486.49158026,2456486.48847,13.427,0.01
2456486.49287016,2456486.48976,13.43,0.009
2456486.49414006,2456486.49103,13.44,0.009
2456486.49541996,2456486.49231,13.413,0.008
2456486.49670986,2456486.4936,13.435,0.007
2456486.49798976,2456486.49488,13.438,0.009
2456486.49926965,2456486.49616,13.429,0.007
2456486.50054955,2456486.49744,13.417,0.009
2456486.50183945,2456486.49873,13.423,0.009
2456486.50311935,2456486.50001,13.423,0.009
2456486.50438925,2456486.50128,13.437,0.009
2456486.50567915,2456486.50257,13.439,0.009
2456486.50695905,2456486.50385,13.431,0.009
2456486.50824895,2456486.50514,13.453,0.009
2456486.50952885,2456486.50642,13.437,0.01
2456486.51081874,2456486.50771,13.448,0.008
2456486.51208864,2456486.50898,13.461,0.007
2456486.51337854,2456486.51027,13.463,0.007
2456486.51465844,2456486.51155,13.475,0.008
2456486.51594834,2456486.51284,13.462,0.008
2456486.51749822,2456486.51439,13.475,0.008
2456486.51930807,2456486.5162,13.456,0.008
2456486.52112793,2456486.51802,13.456,0.008
2456486.52293779,2456486.51983,13.419,0.008
2456486.52474764,2456486.52164,13.402,0.008
2456486.5265575,2456486.52345,13.361,0.007
2456486.52837736,2456486.52527,13.349,0.007
2456486.53018722,2456486.52708,13.321,0.007
2456486.53199707,2456486.52889,13.264,0.007
2456486.53381693,2456486.53071,13.244,0.007
2456486.53562679,2456486.53252,13.242,0.007
2456486.53744664,2456486.53434,13.268,0.007
2456486.53873654,2456486.53563,13.261,0.007
2456486.54001644,2456486.53691,13.269,0.007
2456486.54129634,2456486.53819,13.292,0.007
2456486.54259624,2456486.53949,13.305,0.007
2456486.54388613,2456486.54078,13.316,0.007
2456486.54516603,2456486.54206,13.348,0.007
2456486.54646593,2456486.54336,13.355,0.007
2456486.54774583,2456486.54464,13.383,0.007
2456486.54903573,2456486.54593,13.374,0.007
2456486.55032563,2456486.54722,13.376,0.007
2456486.55161553,2456486.54851,13.392,0.007
2456486.55290542,2456486.5498,13.388,0.007
2456486.55419532,2456486.55109,13.391,0.007
2456486.55548522,2456486.55238,13.398,0.007
2456486.55677512,2456486.55367,13.413,0.007
2456486.55805502,2456486.55495,13.407,0.007
2456486.55935491,2456486.55625,13.406,0.008
2456486.56065481,2456486.55755,13.417,0.007
2456486.56193471,2456486.55883,13.423,0.008
2456486.56323461,2456486.56013,13.41,0.007
2456486.56451451,2456486.56141,13.433,0.008
2456486.5658144,2456486.56271,13.422,0.007
2456486.5670943,2456486.56399,13.433,0.008
2456486.5683942,2456486.56529,13.437,0.008
2456486.5696941,2456486.56659,13.448,0.007
2456486.570974,2456486.56787,13.468,0.007
2456486.57227389,2456486.56917,13.45,0.007
2456486.57356379,2456486.57046,13.468,0.007
2456486.57485369,2456486.57175,13.446,0.008
2456486.57614359,2456486.57304,13.437,0.007
2456486.57744349,2456486.57434,13.437,0.007
2456486.57873338,2456486.57563,13.45,0.008
2456486.58002328,2456486.57692,13.447,0.007
2456486.58132318,2456486.57822,13.442,0.008
2456486.58261308,2456486.57951,13.461,0.008
2456486.58390298,2456486.5808,13.465,0.008
2456486.58519287,2456486.58209,13.461,0.008
2456486.58649277,2456486.58339,13.468,0.008
2456486.58779267,2456486.58469,13.473,0.008
2456486.58908257,2456486.58598,13.49,0.008
2456486.59037246,2456486.58727,13.497,0.008
2456486.59166236,2456486.58856,13.483,0.008
2456486.59297226,2456486.58987,13.488,0.008
2456486.59427216,2456486.59117,13.5,0.008
2456486.59557205,2456486.59247,13.473,0.008
2456486.59686195,2456486.59376,13.497,0.008
2456486.59815185,2456486.59505,13.487,0.008
2456486.59944175,2456486.59634,13.462,0.008
2456486.60074165,2456486.59764,13.416,0.007
2456486.60205154,2456486.59895,13.409,0.008
2456486.60334144,2456486.60024,13.393,0.007
2456486.60464134,2456486.60154,13.372,0.007
2456486.60594124,2456486.60284,13.345,0.007
2456486.60723113,2456486.60413,13.341,0.007
2456486.60853103,2456486.60543,13.337,0.007
2456486.60982093,2456486.60672,13.322,0.007
2456486.61113083,2456486.60803,13.285,0.007
2456486.61243072,2456486.60933,13.284,0.007
2456486.61373062,2456486.61063,13.282,0.007
2456486.61503052,2456486.61193,13.285,0.007
2456486.61633041,2456486.61323,13.291,0.007
2456486.61763031,2456486.61453,13.28,0.007
2456486.61893021,2456486.61583,13.35,0.007
2456486.62023011,2456486.61713,13.348,0.007
2456486.62153,2456486.61843,13.381,0.008
2456486.6228299,2456486.61973,13.413,0.008
2456486.6241298,2456486.62103,13.41,0.008
2456486.6254297,2456486.62233,13.401,0.008
2456486.62672959,2456486.62363,13.405,0.008
2456486.62802949,2456486.62493,13.396,0.008
2456486.62932939,2456486.62623,13.406,0.008
2456486.63062929,2456486.62753,13.428,0.008
2456486.63192918,2456486.62883,13.422,0.008
2456486.63323908,2456486.63014,13.413,0.008
2456486.63453898,2456486.63144,13.417,0.008
2456486.63583888,2456486.63274,13.421,0.008
2456486.63714877,2456486.63405,13.423,0.007
2456486.63845867,2456486.63536,13.432,0.008
2456486.63976857,2456486.63667,13.435,0.008
2456486.64105846,2456486.63796,13.438,0.008
2456486.64236836,2456486.63927,13.434,0.008
2456486.64367825,2456486.64058,13.446,0.008
2456486.64497815,2456486.64188,13.446,0.008
2456486.64627805,2456486.64318,13.453,0.008
2456486.64757795,2456486.64448,13.45,0.008
2456486.64888784,2456486.64579,13.449,0.008
2456486.65018774,2456486.64709,13.452,0.008
2456486.65149764,2456486.6484,13.469,0.008
2456486.65280753,2456486.64971,13.474,0.008
2456486.65411743,2456486.65102,13.463,0.008
2456486.65540733,2456486.65231,13.496,0.008
2456486.65671722,2456486.65362,13.478,0.008
2456486.65802712,2456486.65493,13.498,0.008
2456486.65933702,2456486.65624,13.463,0.008
2456486.66062692,2456486.65753,13.487,0.008
2456486.66194681,2456486.65885,13.513,0.008
2456486.66325671,2456486.66016,13.512,0.008
2456486.66456661,2456486.66147,13.525,0.008
2456486.6658765,2456486.66278,13.51,0.008
2456486.6671864,2456486.66409,13.518,0.008
2456486.6684863,2456486.66539,13.542,0.008
2456486.66979619,2456486.6667,13.527,0.008
2456486.67110609,2456486.66801,13.54,0.008
2456487.46806292,2456487.46503,13.388,0.008
2456487.47044273,2456487.46741,13.398,0.008
2456487.47282254,2456487.46979,13.416,0.008
2456487.47519235,2456487.47216,13.412,0.008
2456487.47757216,2456487.47454,13.422,0.008
2456487.47995198,2456487.47692,13.417,0.008
2456487.48232179,2456487.47929,13.433,0.008
2456487.4847116,2456487.48168,13.439,0.008
2456487.48709141,2456487.48406,13.444,0.008
2456487.48947122,2456487.48644,13.467,0.008
2456487.49185103,2456487.48882,13.471,0.008
2456487.49422084,2456487.49119,13.457,0.008
2456487.49661065,2456487.49358,13.475,0.008
2456487.49900046,2456487.49597,13.481,0.008
2456487.50137027,2456487.49834,13.496,0.008
2456487.50376008,2456487.50073,13.508,0.008
2456487.50615989,2456487.50313,13.507,0.008
2456487.5085397,2456487.50551,13.513,0.008
2456487.51091951,2456487.50789,13.509,0.008
2456487.51330932,2456487.51028,13.512,0.008
2456487.51589912,2456487.51287,13.437,0.007
2456487.51875889,2456487.51573,13.403,0.007
2456487.52160866,2456487.51858,13.353,0.007
2456487.52446843,2456487.52144,13.35,0.007
2456487.52733821,2456487.52431,13.309,0.007
2456487.53018798,2456487.52716,13.326,0.007
2456487.53304775,2456487.53002,13.314,0.007
2456487.53590753,2456487.53288,13.324,0.007
2456487.53863731,2456487.53561,13.388,0.007
2456487.54136709,2456487.53834,13.378,0.007
2456487.54410687,2456487.54108,13.378,0.007
2456487.54684666,2456487.54382,13.392,0.007
2456487.54957644,2456487.54655,13.408,0.007
2456487.55230622,2456487.54928,13.401,0.008
2456487.555056,2456487.55203,13.395,0.007
2456487.55778578,2456487.55476,13.425,0.007
2456487.56051557,2456487.55749,13.455,0.008
2456487.56325535,2456487.56023,13.47,0.007
2456487.56598513,2456487.56296,13.463,0.008
2456487.56873491,2456487.56571,13.454,0.008
2456487.5714747,2456487.56845,13.445,0.008
2456487.57421448,2456487.57119,13.457,0.007
2456487.57694426,2456487.57392,13.475,0.008
2456487.57969404,2456487.57667,13.48,0.008
2456487.58243382,2456487.57941,13.515,0.008
2456487.58517361,2456487.58215,13.499,0.008
2456487.58792339,2456487.5849,13.51,0.008
2456487.59065317,2456487.58763,13.469,0.008
2456487.59340295,2456487.59038,13.424,0.008
2456487.59615273,2456487.59313,13.405,0.007
2456487.59889251,2456487.59587,13.361,0.007
2456487.6016323,2456487.59861,13.315,0.007
2456487.60437208,2456487.60135,13.287,0.007
2456487.60713186,2456487.60411,13.311,0.007
2456487.60987164,2456487.60685,13.318,0.007
2456487.61263142,2456487.60961,13.343,0.008
